"设备编码","彩铃费","短信费","本地语音通话费","长途语音通话费","省内语音漫游费","省际语音漫游费","国际语音长途费","上网及数据通信费","综合增值服务费","来电显示费","总费用","上网次数","上网时长","延迟缴费次数","主叫次数","被叫次数","本地通话次数","省内漫游通话次数","省际漫游通话次数","国际漫游通话次数","主叫通话分钟数","被叫通话分钟数","本地通话分钟数","长途语音通话分钟数","省内漫游通话分钟数","省际漫游通话分钟数","国际漫游通话分钟数","群内通话次数","群内通话分钟数","群外通话次数","群外通话分钟数","忙时通话次数","忙时通话分钟数","闲时通话次数","闲时通话分钟数","呼转次数","拨打他网客服次数","拨打中电信通话次数","拨打中电信通话分钟数","拨打中联通通话次数","拨打中联通通话分钟数","拨打中移动通话次数","拨打中移动通话分钟数","拨打固话通话次数","拨打固话通话分钟数","主叫通话联系人数量","被叫通话联系人数量","年龄","号码等级","月基本套餐费","套餐最低消费","是否VPN用户","是否融合","入网天数","是否女性","是否政企","是否托收","是否流失"
"338",3.85946575468947,4.01638302075239,1.61839765380557,2.62864617831494,1.60241329749714,2.48282114329698,2.32922702394047,4.10939736484839,0.930193637043147,1.99333884262642,2.26488322581003,4.04305126783455,8.66912569865955,1,3.31418600467253,3.77276093809464,4.14313472639153,0.405465108108164,0,2.01490302054226,4.34380542185368,4.54329478227,4.84811636459848,3.27714473299218,0.693147180559945,0,2.83321334405622,0,0,4.24849524204936,4.92034582274879,4.06902675423781,4.78874096218248,2.52572864430826,2.88480071284671,0,0,2.07944154167984,2.67414864942653,1.6094379124341,2.61739583283408,2.2512917986065,3.36210999295411,3.31418600467253,4.15575319035074,1.94591014905531,2.484906649788,30,2,4.43119691247649,4.4693186434491,0,1,6.05208916892442,0,1,1,1
"517",3.89182029811063,4.14091003136942,2.6475922320651,3.20437113866532,2.04057076729084,2.91017438519234,0.887891257352457,4.6044699408737,2.68444033546308,2.68716699018579,5.19863514327488,5.2704321630585,10.2620762058893,2,5.74620319054015,5.38219885052874,5.97253653722246,2.39789527279837,4.85203026391962,0,6.19440539110467,5.96870755998537,6.27476202124194,4.89783979995091,3.13549421592915,5.27299955856375,0,0,0,6.27193316504146,6.39751281847673,5.97126183979046,6.10613162208611,4.93087032562739,5.0288025980517,0,0,4.3502779363593,4.11577984294217,3.06805293513362,2.61739583283408,5.22843123908387,5.39544407727876,5.74620319054015,5.78382518232974,2.99573227355399,3.90197266957464,25,1,4.86753445045558,5.01662135543707,0,0,2.07944154167984,0,1,0,1
"473",3.8649313978943,4.11103778516376,1.61839765380557,2.75620524298926,1.80005827204275,2.54120821515664,0.887891257352457,4.31828779370688,1.92424865227413,2.14710019015365,4.89783979995091,1.22863785675624,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,4.34429531750474,0,0,4.48863636973214,1,1,0,1
"134",3.90610553166411,4.02802668118445,1.61839765380557,2.22786154679811,1.20746669358019,2.4261292790855,0.887891257352457,4.00168087735868,3.27108869631514,2.86789890204411,4.00003388275086,0,0,2,4.22683374526818,2.80336038090653,4.42484663185681,0.405465108108164,0,0,4.32413265625498,3.15700042115011,4.57471097850338,0.405465108108164,0.405465108108164,0,0,0,0,4.43081679884331,3.91601502669768,4.18205014264121,3.68512240523622,2.9704144655697,2.43361335540045,0,0,0,0,3.61091791264422,2.82435065679837,2.99573227355399,2.39789527279837,4.22683374526818,3.58212908416706,2.01490302054226,1.94591014905531,31,1,0,4.31365546388161,0,1,6.76503897678054,0,0,0,1
"48",3.92740410746645,4.01638302075239,2.03208784529637,3.00642490309273,1.51841851404693,2.59039215763398,0.887891257352457,3.98266784499748,2.71370087261102,2.33988087773774,3.96688990686899,0.405465108108164,0.262364264467491,0,2.56494935746154,1.25276296849537,2.7408400239252,0,0,0,4.26267987704132,1.50407739677627,3.65065824129374,3.61091791264422,0,0,0,0,0,2.7408400239252,4.19795354484112,2.484906649788,3.95028171754524,1.50407739677627,2.74727091425549,0,0,0,0,0.916290731874155,2.35137525716348,2.14006616349627,3.25424296870549,2.56494935746154,4.16744011729265,1.25276296849537,0,50,1.85668977410086,4.31544566152486,4.31365546388161,0.0680323190879005,0,7.25981961036319,0,1,1,1
"363",3.85946575468947,4.06474409244581,1.61839765380557,2.69631494488379,1.73430689447997,2.52212214871414,0.887891257352457,4.34003207797121,2.52652832447882,2.14476100780048,4.60517018598809,1.70474809223843,5.41972346055052,1,3.17805383034795,3.11351530921037,0,0,3.8177123259569,0,4.14313472639153,4.67749084756772,0,0,0,5.1328529268205,0,0,0,3.8177123259569,4.98838968514894,3.61091791264422,4.90119238271487,2.2512917986065,2.58021682959233,0,0,2.01490302054226,3.14199478053224,0.693147180559945,0.336472236621213,2.4423470353692,2.95491027903374,3.17805383034795,3.93963817246112,1.25276296849537,2.30258509299405,24,0,4.58967542293089,4.62420368127636,0.0177315506665584,0,5.8348107370626,1,1,0,1
"356",3.87691382831458,4.03441761364175,1.61839765380557,2.39880395073459,1.41463883412903,2.48573963609189,0.887891257352457,4.70492501912508,0.415415438961333,1.49290409617815,5.00558925087403,4.92722531194076,0,2,3.58351893845611,3.2188758248682,0,0,4.0943445622221,0,4.8283137373023,3.8607297110406,0,0,0,5.14458326660599,0,0,0,4.0943445622221,4.93842295998233,3.97968165390196,4.84968376303849,2.01490302054226,2.55334381134123,0,0,1.50407739677627,2.94968833505258,2.484906649788,3.41772668361337,3.06805293513362,4.06817168791808,3.58351893845611,4.66391068101069,0,2.19722457733622,24,1,4.49980967033027,4.60517018598809,0,1,5.84354441703136,0,1,0,1
"33",3.9042932073662,4.01638302075239,1.61839765380557,2.61483781938003,1.20746669358019,3.099867038286,0.887891257352457,3.98935434836447,2.70971548042127,2.3823200610129,3.89619845508117,2.04518405146146,0,1,3.62434093297637,4.08597631255158,0,4.56434819146784,0,0,3.94158180766969,4.40671924726425,0,0,4.88658264542628,0,0,0,0,4.56434819146784,4.32875770579454,3.96081316959758,3.65842024662923,3.79548918917219,3.64021428213266,0,0,1.94591014905531,2.18041745901984,2.07944154167984,1.7404661748405,2.7408400239252,2.11625551480255,3.62434093297637,3.44680789291421,0.693147180559945,2.484906649788,40,1.72661536933895,4.332070831746,4.31365546388161,0.0343511046666482,0,7.34342622914737,1,1,0,1
"512",3.89182029811063,4.11103778516376,1.61839765380557,2.83262493568384,1.88251383249652,2.56763804738546,0.887891257352457,4.44182738779192,1.53686721959926,2.68716699018579,4.86753445045558,4.06902675423781,7.92032844514075,0,4.25561270981822,4.21950770517611,4.56954300834494,3.73766961828337,0,0,5.35185813347607,4.98702542845712,5.03370056702725,4.69134788222914,4.56434819146784,0,0,3.41772668361337,3.78305262413119,4.68213122712422,5.49675830522187,4.64918707140487,5.4701676234747,3.52636052461616,3.91800507710569,0,0,2.60268968544438,2.85647020622048,0,0,4.01638302075239,5.07173039345607,4.25561270981822,5.17784321308016,2.39789527279837,3.41772668361337,26,1.61353322259136,4.50336178452711,4.62420368127636,0.878741707603921,0,2.70805020110221,1,0,1,1
"29",3.83729945923221,4.01998014693324,1.64769662455119,3.0729247693839,1.68917288045295,2.77757626375082,0.887891257352457,3.81573234510986,2.85041744238913,2.21593728626837,4.14796431497222,0,0,0,3.76120011569356,3.76120011569356,4.44265125649032,0,0,0,4.59005654817804,4.43081679884331,4.93087032562739,3.78418963391826,0,0,0,0,0,4.44265125649032,4.9004483350615,3.83945231259331,4.49591320005114,3.67630067190708,3.82209829790016,0,0,0.693147180559945,0.300104592450338,1.25276296849537,2.31253542384721,2.86220088092947,3.87743156065853,3.76120011569356,4.32280727501391,1.25276296849537,2.39789527279837,40,1.49311657704264,4.43119691247649,4.38496330843583,0.0680323190879005,0,7.36770857237437,0,1,1,1
